City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,whitehorse,60.7161,-135.0538,-2.57,100,100,2.06,CA,1731303477
124,ghat,24.9647,10.1728,16.88,32,25,2.63,LY,1731303478
125,haiku-pauwela,20.9219,-156.3051,23.47,69,20,8.23,US,1731303479
126,thompson,55.7435,-97.8558,-1.91,86,75,2.57,CA,1731303481
127,karungdong,5.8844,121.263,29.23,72,100,1.17,PH,1731303482
128,alo,6.5486,4.2686,23.68,92,86,1.57,NG,1731303483
129,ingeniero jacobacci,-41.3427,-69.5448,2.86,48,49,6.64,AR,1731303484
130,colonia menno,-22.3667,-59.8167,24.56,44,2,3.99,PY,1731303486
131,port elizabeth,-33.918,25.5701,17.95,86,75,4.63,ZA,1731303487
132,nueva gerona,21.8833,-82.8,25.4,87,23,4.64,CU,1731303488
133,port mathurin,-19.6833,63.4167,24.27,73,58,8.86,MU,1731303489
134,papatowai,-46.5619,169.4708,12.59,54,39,4.58,NZ,1731303491
135,puerto ayacucho,5.6639,-67.6236,23.8,95,100,1.27,VE,1731303492
136,petropavlovsk-kamchatsky,53.0452,158.6483,-2.67,93,100,3.0,RU,1731303493
137,quellon,-43.1167,-73.6167,5.85,91,20,2.81,CL,1731303494
138,codrington,-38.2667,141.9667,16.35,70,75,8.02,AU,1731303495
139,puerto gaitan,4.3133,-72.0816,23.84,92,100,2.44,CO,1731303496
140,pangody,65.85,74.4859,-14.87,93,100,9.41,RU,1731303498
141,klyuchi,52.2667,79.1667,-0.76,98,100,3.59,RU,1731303499
142,khabary,53.6259,79.5345,-4.87,82,100,4.22,RU,1731303500
143,talnakh,69.4865,88.3972,-24.53,89,56,0.57,RU,1731303501
144,udachny,66.4167,112.4,-12.96,94,100,1.78,RU,1731303502
145,williams lake,52.1415,-122.1445,7.81,73,100,10.8,CA,1731303303
146,arteche,12.2645,125.4048,30.32,69,55,4.97,PH,1731303505
147,tanhuato de guerrero,20.2833,-102.3333,20.78,62,92,1.13,MX,1731303506
148,cullowhee,35.3137,-83.1765,16.28,98,100,0.0,US,1731303507
149,jayapura,-2.5333,140.7,29.66,76,100,2.72,ID,1731303508
150,muromtsevo,56.3724,75.2418,-7.45,87,100,5.51,RU,1731303510
151,onokhoy,51.932,108.0747,-2.16,71,94,0.77,RU,1731303512
152,bahau,2.8079,102.4049,34.61,67,89,1.2,MY,1731303513
153,tiksi,71.6872,128.8694,-16.42,97,97,0.84,RU,1731303514
154,betare oya,5.6,14.0833,20.09,72,69,1.3,CM,1731303516
155,kushiro,42.975,144.3747,14.53,62,20,3.6,JP,1731303517
156,la passe,45.5549,-0.8967,12.28,83,96,5.5,FR,1731303518
157,kogalym,62.2654,74.4791,-10.51,94,97,5.52,RU,1731303519
158,muzaffargarh,30.0754,71.1921,22.01,20,53,1.82,PK,1731303520
159,nova vicosa,-17.8919,-39.3719,23.95,76,94,5.9,BR,1731303522
160,hadibu,12.65,54.0333,27.17,73,32,5.17,YE,1731303523
161,newman,37.3138,-121.0208,10.59,35,23,2.42,US,1731303524
162,kingston,17.997,-76.7936,27.53,83,20,1.54,JM,1731303525
163,touros,-5.1989,-35.4608,25.45,69,100,5.68,BR,1731303527
164,omaruru,-21.4333,15.9333,20.01,29,2,0.32,NA,1731303528
165,sheringham,52.9408,1.2093,9.3,85,77,9.07,GB,1731303529
166,acarau,-2.8856,-40.12,24.88,82,59,6.09,BR,1731303530
167,iskateley,67.6803,53.1512,-12.49,91,63,2.02,RU,1731303531
168,international falls,48.6011,-93.411,5.1,80,100,9.77,US,1731303532
169,sisimiut,66.9395,-53.6735,-6.36,79,100,3.22,GL,1731303535
170,tommot,58.9564,126.2925,-9.34,92,98,1.18,RU,1731303538
171,kone,-21.0595,164.8658,26.08,64,55,1.8,NC,1731303539
172,mormugao,15.4,73.8,29.59,51,97,4.12,IN,1731303541
173,kui buri,12.0828,99.8543,30.25,57,54,4.26,TH,1731303542
174,labytnangi,66.6572,66.4183,-19.66,92,37,2.1,RU,1731303543
175,muriti,-1.9833,32.9167,24.18,61,86,2.24,TZ,1731303544
176,alice springs,-23.7,133.8833,33.75,29,61,5.66,AU,1731303545
177,arraial do cabo,-22.9661,-42.0278,21.61,68,2,1.39,BR,1731303547
178,fortuna,40.5982,-124.1573,17.42,76,100,7.72,US,1731303548
179,daru,-9.0763,143.2092,27.68,77,100,4.27,PG,1731303549
180,goundam,16.4145,-3.6708,21.34,19,0,3.71,ML,1731303550
181,hammerfest,70.6634,23.6821,7.25,87,75,6.17,NO,1731303551
182,santana,-0.0583,-51.1817,27.1,89,0,2.57,BR,1731303553
183,matsue,35.4722,133.0506,20.0,60,20,4.63,JP,1731303554
184,tuchola,53.5879,17.8591,-1.01,80,33,1.78,PL,1731303555
185,mount pearl,47.5166,-52.7813,2.86,82,75,7.2,CA,1731303556
186,san antonio de pale,-1.4014,5.6325,25.79,84,74,4.22,GQ,1731303557
187,saldanha,-33.0117,17.9442,16.67,73,6,4.61,ZA,1731303559
188,kimbe,-5.5502,150.1429,29.13,79,50,2.22,PG,1731303560
189,ilha solteira,-20.4328,-51.3425,23.13,71,36,2.11,BR,1731303561
190,shakawe,-18.3667,21.85,22.9,72,92,3.01,BW,1731303562
191,atafu village,-8.5421,-172.5159,28.33,72,25,4.22,TK,1731303563
192,kolonia town,6.964,158.206,26.0,94,100,0.0,FM,1731303565
193,fougamou,-1.2154,10.5838,23.11,97,97,0.33,GA,1731303566
194,arkhangel'sk,64.5401,40.5433,1.06,100,100,3.0,RU,1731303567
195,vuktyl,63.8567,57.3094,-8.84,90,94,2.94,RU,1731303568
196,walvis bay,-22.9575,14.5053,14.53,94,100,3.6,NA,1731303024
197,nong bua,15.8646,100.5858,30.15,57,45,0.98,TH,1731303570
198,ilulissat,69.2167,-51.1,-4.99,63,75,4.63,GL,1731303572
199,utrik,11.2278,169.8474,28.35,78,10,8.84,MH,1731303574
200,georgetown,5.4112,100.3354,31.96,74,20,3.6,MY,1731303575
201,merizo village,13.2658,144.6691,29.31,88,100,6.02,GU,1731303576
202,aasiaat,68.7098,-52.8699,-8.12,95,100,5.3,GL,1731303577
203,christchurch,-43.5333,172.6333,13.3,55,100,5.66,NZ,1731303420
204,ribeira brava,32.65,-17.0667,21.18,38,7,3.6,PT,1731303580
205,oliva,38.9197,-0.1194,13.02,80,20,1.34,ES,1731303581
206,chabahar,25.2919,60.643,29.23,48,6,3.19,IR,1731303582
207,sylacauga,33.1732,-86.2516,18.02,88,100,1.54,US,1731303583
208,san patricio,28.017,-97.5169,21.97,78,13,2.97,US,1731303585
209,qarqaraly,49.4058,75.4742,-1.09,86,100,9.71,KZ,1731303586
210,port augusta,-32.5,137.7667,28.69,42,76,1.16,AU,1731303587
211,smithers,54.7804,-127.1743,1.18,80,100,1.03,CA,1731303588
212,lata,40.1629,-8.3327,11.13,96,29,2.19,PT,1731303589
213,el granada,37.5027,-122.4694,15.9,80,100,4.12,US,1731303591
214,kayangel,8.0823,134.7173,28.89,65,68,0.41,PW,1731303592
215,narayanpet,16.7333,77.5,28.83,34,98,3.21,IN,1731303593
216,mana,5.6592,-53.7767,25.74,90,97,4.16,GF,1731303594
217,nguigmi,14.2495,13.1092,21.76,31,99,4.61,NE,1731303595
218,st. john's,47.5649,-52.7093,3.32,81,75,7.2,CA,1731303371
219,al mishkhab,31.8042,44.4911,18.06,36,100,3.0,IQ,1731303598
220,tokar,18.4254,37.729,31.29,55,87,8.17,SD,1731303599
221,novodvinsk,64.4165,40.8122,0.86,93,99,2.59,RU,1731303600
222,invercargill,-46.4,168.35,13.34,66,19,4.92,NZ,1731303601
223,barcelos,41.5388,-8.6151,12.56,92,7,2.38,PT,1731303603
224,cururupu,-1.8283,-44.8683,24.44,85,85,1.63,BR,1731303604
225,orikhiv,47.5673,35.7858,3.82,86,5,2.76,UA,1731303605
226,tilaran,10.4703,-84.9671,20.38,97,100,0.48,CR,1731303606
227,larache,35.1932,-6.1557,17.29,53,7,1.53,MA,1731303607
228,susuman,62.7833,148.1667,-26.05,93,100,1.57,RU,1731303608
229,kananga,-5.8958,22.4178,20.43,97,100,0.81,CD,1731303610
230,tsiombe,-25.3,45.4833,32.99,41,52,1.39,MG,1731303611
231,madera,37.1666,-119.8343,15.0,36,5,2.07,US,1731303612
232,happy valley-goose bay,53.3168,-60.3315,0.17,59,20,3.09,CA,1731303613
233,nishinoomote,30.7333,131.0,23.31,83,75,2.57,JP,1731303615
234,ciudad lazaro cardenas,17.9583,-102.2,25.31,88,13,1.99,MX,1731303616
235,ola,59.5833,151.2833,-7.07,76,100,9.54,RU,1731303617
236,ta`u,-14.2336,-169.5144,27.18,84,90,7.23,AS,1731303618
237,poronaysk,49.2167,143.1167,1.05,58,15,7.35,RU,1731303619
238,broome,42.2506,-75.833,8.72,95,100,4.63,US,1731303621
239,kapit,2.0167,112.9333,33.48,48,93,1.06,MY,1731303623
240,chibougamau,49.9168,-74.3659,0.79,93,100,2.06,CA,1731303624
241,villa gesell,-37.2639,-56.973,12.85,89,92,4.3,AR,1731303625
242,tura,25.5198,90.2201,27.72,51,0,1.61,IN,1731303626
243,antalaha,-14.9003,50.2788,27.81,69,82,2.38,MG,1731303628
244,onguday,50.75,86.15,4.23,50,100,5.23,RU,1731303629
245,nogliki,51.8333,143.1667,-1.43,65,86,8.94,RU,1731303630
246,buala,-8.145,159.5921,28.4,75,98,1.9,SB,1731303631
247,lospalos,-8.5186,127.0025,28.93,50,18,4.7,TL,1731303632
248,mount isa,-20.7333,139.5,38.87,16,99,4.63,AU,1731303634
249,matli,25.0431,68.6557,33.35,23,0,4.53,PK,1731303635
250,barakani,-12.1356,44.4317,27.78,70,1,2.67,KM,1731303636
251,okhotsk,59.3833,143.3,-9.42,67,100,9.5,RU,1731303637
252,bruck an der mur,47.4036,15.2952,0.3,78,0,0.66,AT,1731303638
253,myeik,12.4333,98.6,29.84,61,68,2.38,MM,1731303639
254,horta,38.5333,-28.6333,20.57,92,40,8.05,PT,1731303641
255,hpa-an,16.8906,97.6333,31.41,57,38,0.78,MM,1731303642
256,ares,-6.1944,-35.1603,22.95,82,96,3.16,BR,1731303643
257,prainha,-1.8,-53.48,27.55,62,95,2.78,BR,1731303644
258,ratnagiri,16.9833,73.3,31.02,46,31,1.71,IN,1731303645
259,douentza,14.9951,-2.9517,20.83,20,1,1.76,ML,1731303646
260,aden,12.7794,45.0367,29.69,53,7,5.51,YE,1731303650
261,grootfontein,-19.5667,18.1167,18.76,94,75,0.0,NA,1731303651
262,mugia,43.1041,-9.2179,13.84,93,25,5.4,ES,1731303652
263,dryden,49.7833,-92.7503,3.16,93,100,6.69,CA,1731303654
